measure_key,measure_name,measure_desc,hcpcs_cd,diagnosis_restricted
ctdsync,Carotid imaging for syncope,Carotid imaging for syncope,70549,True
ctdsync,Carotid imaging for syncope,Carotid imaging for syncope,93880,True
ctdsync,Carotid imaging for syncope,Carotid imaging for syncope,93882,True
ctdasym,Carotid imaging asymptomatic,Carotid imaging in asymptomatic adults,3100F,True
ctdasym,Carotid imaging asymptomatic,Carotid imaging in asymptomatic adults,70498,True
ctdasym,Carotid imaging asymptomatic,Carotid imaging in asymptomatic adults,70547,True
ctdasym,Carotid imaging asymptomatic,Carotid imaging in asymptomatic adults,70548,True
ctdasym,Carotid imaging asymptomatic,Carotid imaging in asymptomatic adults,70549,True
ctdasym,Carotid imaging asymptomatic,Carotid imaging in asymptomatic adults,93880,True
ctdasym,Carotid imaging asymptomatic,Carotid imaging in asymptomatic adults,93882,True
cea,Carotid endarterectomy asymp,Carotid endarterectomy in asymptomatic patients,35301,True
homocy,Homocysteine testing,Homocysteine testing in cardiovascular disease,83090,True
hyperco,Hypercoagulability after DVT,Hypercoagulability tests within 30d of DVT/PE,81240,True
hyperco,Hypercoagulability after DVT,Hypercoagulability tests within 30d of DVT/PE,81241,True
hyperco,Hypercoagulability after DVT,Hypercoagulability tests within 30d of DVT/PE,83090,True
hyperco,Hypercoagulability after DVT,Hypercoagulability tests within 30d of DVT/PE,85300,True
hyperco,Hypercoagulability after DVT,Hypercoagulability tests within 30d of DVT/PE,85303,True
hyperco,Hypercoagulability after DVT,Hypercoagulability tests within 30d of DVT/PE,85306,True
hyperco,Hypercoagulability after DVT,Hypercoagulability tests within 30d of DVT/PE,85613,True
hyperco,Hypercoagulability after DVT,Hypercoagulability tests within 30d of DVT/PE,86147,True
spinj,Spinal injection for low back,Epidural / facet / trigger point injections for low back pain,20552,True
spinj,Spinal injection for low back,Epidural / facet / trigger point injections for low back pain,20553,True
spinj,Spinal injection for low back,Epidural / facet / trigger point injections for low back pain,62311,True
spinj,Spinal injection for low back,Epidural / facet / trigger point injections for low back pain,64475,True
spinj,Spinal injection for low back,Epidural / facet / trigger point injections for low back pain,64483,True
spinj,Spinal injection for low back,Epidural / facet / trigger point injections for low back pain,64493,True
t3,T3 in hypothyroidism,Total or free T3 testing in hypothyroidism,84480,True
t3,T3 in hypothyroidism,Total or free T3 testing in hypothyroidism,84481,True
plant,Imaging for plantar fasciitis,Radiographic / MR / US imaging in plantar fasciitis,73620,True
plant,Imaging for plantar fasciitis,Radiographic / MR / US imaging in plantar fasciitis,73630,True
plant,Imaging for plantar fasciitis,Radiographic / MR / US imaging in plantar fasciitis,73650,True
plant,Imaging for plantar fasciitis,Radiographic / MR / US imaging in plantar fasciitis,73718,True
plant,Imaging for plantar fasciitis,Radiographic / MR / US imaging in plantar fasciitis,73719,True
plant,Imaging for plantar fasciitis,Radiographic / MR / US imaging in plantar fasciitis,73720,True
plant,Imaging for plantar fasciitis,Radiographic / MR / US imaging in plantar fasciitis,76880,True
plant,Imaging for plantar fasciitis,Radiographic / MR / US imaging in plantar fasciitis,76881,True
plant,Imaging for plantar fasciitis,Radiographic / MR / US imaging in plantar fasciitis,76882,True
vitd,"1,25 vitamin D testing",Calcitriol testing without hypercalcemia,82652,True
rhcath,PA catheter in ICU,Pulmonary artery catheterization in ICU,93503,True
