YEAR,ffs_avg_risk_score,BENES_FFS_CNT,BENES_MA_CNT,MA_PRTCPTN_RATE,BENE_AVG_AGE,BENE_DUAL_PCT,geo_lvl,geo_desc,geo_cd,ffs_risk_score_yoy_pct
2017,0.91,93309.0,22239.0,0.1925,73.0,0.1498,State,ND,38,1.1111111111111072
2018,0.91,96376.0,23131.0,0.1936,73.0,0.1453,State,ND,38,0.0
2019,0.9,98296.0,24047.0,0.1966,73.0,0.1418,State,ND,38,-1.098901098901095
2020,0.9,98597.0,26325.0,0.2107,72.0,0.1402,State,ND,38,0.0
2021,0.92,96338.0,30537.0,0.2407,72.0,0.1392,State,ND,38,2.2222222222222143
2022,0.93,93020.0,37446.0,0.287,73.0,0.1399,State,ND,38,1.0869565217391353
2023,0.93,88488.0,44164.0,0.3329,73.0,0.1325,State,ND,38,0.0
2014,0.89,252509.0,35953.0,0.1246,73.0,0.1555,State,NE,31,
2015,0.89,258356.0,37642.0,0.1272,73.0,0.1516,State,NE,31,0.0
2016,0.89,262993.0,39923.0,0.1318,73.0,0.1467,State,NE,31,0.0
2017,0.9,265882.0,42893.0,0.1389,73.0,0.142,State,NE,31,1.1235955056179803
