ein,filer_name,filer_state,ccn,rpt_rec_num,hcris_name,hcris_state,jaccard,hospital_facilities_cnt,match_type,match_scope,allocation_share,total_costs
540506332,Carilion Medical Center,VA,490024,823730,CARILION MEDICAL CENTER,VA,1.0,2,multi_facility_jaccard,same_state,1.0,1297843168.0
710411459,White River Health System Inc,AR,040119,825084,WHITE RIVER MEDICAL CENTER,AR,1.0,2,multi_facility_jaccard,same_state,1.0,227885433.0
570370242,MCLEOD REGIONAL MEDICAL CENTER OF,SC,420051,821819,MCLEOD REGIONAL MEDICAL CENTER,SC,1.0,2,multi_facility_jaccard,same_state,1.0,710986889.0
721025017,BATON ROUGE GENERAL MEDICAL CENTER,LA,190065,823443,BATON ROUGE GENERAL,LA,1.0,2,multi_facility_jaccard,same_state,1.0,439424228.0
592447554,Bethesda Hospital Inc,FL,100002,823081,BETHESDA HOSPITAL,FL,1.0,2,multi_facility_jaccard,same_state,1.0,435777685.0
060646768,The Hospital of Central Connecticut,CT,070035,822174,THE HOSPITAL OF CENTRAL CONNECTICUT,CT,1.0,2,multi_facility_jaccard,same_state,1.0,555629761.0
060646597,The Danbury Hospital,CT,070033,827473,DANBURY HOSPITAL,CT,1.0,2,multi_facility_jaccard,same_state,1.0,664462145.0
710236917,ST VINCENT INFIRMARY MEDICAL CENTER,AR,040007,827666,ST VINCENT INFIRMARY MEDICAL CENTER,AR,1.0,2,multi_facility_jaccard,same_state,1.0,452434939.0
560529976,BLUE RIDGE HEALTHCARE HOSPITALS INC,NC,340075,824635,BLUE RIDGE HEALTHCARE HOSPITALS,NC,1.0,2,multi_facility_jaccard,same_state,1.0,251048138.0
440605373,The Children's Mercy Hospital,MO,263302,792870,CHILDRENS MERCY HOSPITAL,MO,1.0,2,multi_facility_jaccard,same_state,1.0,1144664998.0
391264986,ASCENSION ALL SAINTS HOSPITAL INC,MO,140080,825520,PRESENCE SAINT FRANCIS HOSPITAL,IL,1.0,2,system_keyword,multi_state,0.8413,248559338.0
391264986,ASCENSION ALL SAINTS HOSPITAL INC,MO,140145,825759,ST. JOSEPHS HOSPITAL,IL,1.0,2,system_keyword,multi_state,0.1587,46900911.0
310537122,BETHESDA HOSPITAL INC,OH,360179,818824,BETHESDA HOSPITAL,OH,1.0,2,multi_facility_jaccard,same_state,1.0,888517703.0
450226711,ST ALEXIUS MEDICAL CENTER,ND,350002,821439,ST ALEXIUS MEDICAL CENTER,ND,1.0,2,multi_facility_jaccard,same_state,1.0,274907490.0
390816845,FROEDTERT SOUTH INC,WI,520021,825937,FROEDTERT SOUTH,WI,1.0,2,multi_facility_jaccard,same_state,1.0,343868520.0
411878730,SMDC MEDICAL CENTER,MN,240019,825814,SMDC MEDICAL CENTER,MN,1.0,2,multi_facility_jaccard,same_state,1.0,383504045.0
480559088,Hays Medical Center Inc,KS,170013,827690,HAYS MEDICAL CENTER  INC.,KS,1.0,2,multi_facility_jaccard,same_state,1.0,202019690.0
731008550,Duncan Regional Hospital Inc,OK,370023,823189,DUNCAN REGIONAL HOSPITAL,OK,1.0,2,multi_facility_jaccard,same_state,1.0,115729650.0
