hcpcs_cd,modifier,description,status,work_rvu,pe_rvu_nf,pe_rvu_f,mp_rvu,total_rvu_nf,total_rvu_f,conversion_factor
77424,,Io rad tx delivery by x-ray,X,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77425,,Io rad tx deliver by elctrns,X,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77427,,Radiation tx management x5,A,3.37,2.17,2.17,0.27,5.81,5.81,32.3465
77431,,Radiation therapy management,A,1.81,1.31,1.31,0.16,3.28,3.28,32.3465
77432,,Stereotactic radiation trmt,A,7.92,4.33,4.33,0.63,12.88,12.88,32.3465
77435,,Sbrt management,A,11.87,6.67,6.67,0.92,19.46,19.46,32.3465
77469,,Io radiation tx management,A,5.75,3.5,3.5,0.48,9.73,9.73,32.3465
77470,,Special radiation treatment,A,2.03,2.27,2.27,0.1,4.4,4.4,32.3465
77499,,Unlisted px ther rad tx mgmt,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77520,,Proton trmt simple w/o comp,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77522,,Proton trmt simple w/comp,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77523,,Proton trmt intermediate,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77525,,Proton treatment complex,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
77600,,Hyperthermia ext gen supfc,R,1.31,14.9,14.9,0.11,16.32,16.32,32.3465
77605,,Hyperthermia ext gen deep,R,1.84,25.97,25.97,0.39,28.2,28.2,32.3465
77610,,Hyperthermia ntrstl prb 5/<,R,1.31,18.79,18.79,0.11,20.21,20.21,32.3465
77615,,Hyperthermia ntrstl prb>5,R,1.84,29.82,29.82,0.23,31.89,31.89,32.3465
77620,,Hyperthermia gen intrcv prb,R,1.56,16.96,16.96,0.4,18.92,18.92,32.3465
77750,,Infuse radioactive materials,A,5.0,6.73,6.73,0.25,11.98,11.98,32.3465
77761,,Apply intrcav radiat simple,A,3.85,8.73,8.73,0.23,12.81,12.81,32.3465
77762,,Apply intrcav radiat interm,A,5.76,10.78,10.78,0.31,16.85,16.85,32.3465
77763,,Apply intrcav radiat compl,A,8.66,14.76,14.76,0.51,23.93,23.93,32.3465
77767,,Hdr rdncl skn surf brachytx,A,1.05,6.39,6.39,0.08,7.52,7.52,32.3465
77768,,Hdr rdncl skn surf brachytx,A,1.4,9.53,9.53,0.12,11.05,11.05,32.3465
77770,,Hdr rdncl ntrstl/icav brchtx,A,1.95,8.42,8.42,0.12,10.49,10.49,32.3465
77771,,Hdr rdncl ntrstl/icav brchtx,A,3.8,14.29,14.29,0.28,18.37,18.37,32.3465
77772,,Hdr rdncl ntrstl/icav brchtx,A,5.4,21.66,21.66,0.39,27.45,27.45,32.3465
77778,,Apply interstit radiat compl,A,8.78,18.74,18.74,0.54,28.06,28.06,32.3465
77789,,Apply surf ldr radionuclide,A,1.14,2.81,2.81,0.06,4.01,4.01,32.3465
77790,,Radiation handling,A,0.0,0.55,0.55,0.02,0.57,0.57,32.3465
77799,,Unlisted px clin brachytx,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78012,,Thyroid uptake measurement,A,0.19,2.2,2.2,0.04,2.43,2.43,32.3465
78013,,Thyroid imaging w/blood flow,A,0.37,4.62,4.62,0.06,5.05,5.05,32.3465
78014,,Thyroid imaging w/blood flow,A,0.5,5.85,5.85,0.06,6.41,6.41,32.3465
78015,,Thyroid met imaging,A,0.67,5.53,5.53,0.07,6.27,6.27,32.3465
78016,,Thyroid met imaging/studies,A,0.82,6.56,6.56,0.06,7.44,7.44,32.3465
78018,,Thyroid met imaging body,A,0.86,7.45,7.45,0.07,8.38,8.38,32.3465
78020,,Thyroid met uptake,A,0.6,1.73,1.73,0.04,2.37,2.37,32.3465
78070,,Parathyroid planar imaging,A,0.8,7.06,7.06,0.08,7.94,7.94,32.3465
78071,,Parathyrd planar w/wo subtrj,A,1.2,8.13,8.13,0.09,9.42,9.42,32.3465
78072,,Parathyrd planar w/spect&ct,A,1.6,9.96,9.96,0.11,11.67,11.67,32.3465
78075,,Adrenal cortex & medulla img,A,0.74,11.06,11.06,0.1,11.9,11.9,32.3465
78099,,Unlisted endocrine px dx nuc,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78102,,Bone marrow imaging ltd,A,0.55,4.16,4.16,0.06,4.77,4.77,32.3465
78103,,Bone marrow imaging mult,A,0.75,4.26,4.26,0.05,5.06,5.06,32.3465
78104,,Bone marrow imaging body,A,0.8,5.87,5.87,0.07,6.74,6.74,32.3465
78110,,Plasma volume single,A,0.19,1.85,1.85,0.05,2.09,2.09,32.3465
78111,,Plasma volume multiple,A,0.22,2.48,2.48,0.05,2.75,2.75,32.3465
78120,,Red cell mass single,A,0.23,1.86,1.86,0.05,2.14,2.14,32.3465
78121,,Red cell mass multiple,A,0.32,2.46,2.46,0.05,2.83,2.83,32.3465
78122,,Whl bld volume determination,A,0.45,2.47,2.47,0.06,2.98,2.98,32.3465
78130,,Red cell survival study,A,0.61,3.06,3.06,0.06,3.73,3.73,32.3465
78140,,Red cell sequestration,A,0.61,2.62,2.62,0.05,3.28,3.28,32.3465
78185,,Spleen imaging,A,0.4,4.14,4.14,0.05,4.59,4.59,32.3465
78191,,Platelet survival study,A,0.61,3.06,3.06,0.06,3.73,3.73,32.3465
78195,,Lymph system imaging,A,1.2,8.21,8.21,0.1,9.51,9.51,32.3465
78199,,Unlstd hematop ret/endo lymp,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78201,,Liver imaging static only,A,0.44,4.75,4.75,0.06,5.25,5.25,32.3465
78202,,Liver imaging with vasc flow,A,0.51,5.25,5.25,0.07,5.83,5.83,32.3465
78215,,Lvr&spleen img static only,A,0.49,4.84,4.84,0.06,5.39,5.39,32.3465
78216,,Lvr&spleen img w/vasc flow,A,0.57,3.43,3.43,0.07,4.07,4.07,32.3465
78226,,Hepatobiliary system imaging,A,0.74,7.88,7.88,0.08,8.7,8.7,32.3465
78227,,Hepatobil syst image w/drug,A,0.9,10.68,10.68,0.1,11.68,11.68,32.3465
78230,,Salivary gland imaging,A,0.45,4.35,4.35,0.06,4.86,4.86,32.3465
78231,,Salivary glnd img serial img,A,0.52,2.55,2.55,0.05,3.12,3.12,32.3465
78232,,Salivary gland function std,A,0.47,2.55,2.55,0.05,3.07,3.07,32.3465
78258,,Esophageal motility,A,0.74,5.08,5.08,0.07,5.89,5.89,32.3465
78261,,Gastric mucosa imaging,A,0.69,4.7,4.7,0.05,5.44,5.44,32.3465
78262,,Gastroesophageal reflux std,A,0.68,5.93,5.93,0.07,6.68,6.68,32.3465
78264,,Gastric emptying imag study,A,0.79,8.0,8.0,0.09,8.88,8.88,32.3465
78265,,Gastric emptying imag study,A,0.98,9.51,9.51,0.09,10.58,10.58,32.3465
78266,,Gastric emptying imag study,A,1.08,10.72,10.72,0.1,11.9,11.9,32.3465
78267,,Breath tst attain/anal c-14,X,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78268,,Breath test analysis c-14,X,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78278,,Acute gi blood loss imaging,A,0.99,8.29,8.29,0.09,9.37,9.37,32.3465
78282,,Gi protein loss exam,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78290,,Meckels divert exam,A,0.68,8.09,8.09,0.08,8.85,8.85,32.3465
78291,,Leveen/shunt patency exam,A,0.88,6.18,6.18,0.08,7.14,7.14,32.3465
78299,,Unlisted gi px dx nuc med,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78300,,Bone imaging limited area,A,0.62,5.4,5.4,0.06,6.08,6.08,32.3465
78305,,Bone imaging multiple areas,A,0.83,6.5,6.5,0.08,7.41,7.41,32.3465
78306,,Bone imaging whole body,A,0.86,6.98,6.98,0.08,7.92,7.92,32.3465
78315,,Bone imaging 3 phase,A,1.02,8.19,8.19,0.09,9.3,9.3,32.3465
78350,,Bone mineral single photon,N,0.22,0.72,0.72,0.02,0.96,0.96,32.3465
78351,,Bone mineral dual photon,N,0.3,0.12,0.12,0.02,0.44,0.44,32.3465
78399,,Unlisted muscskel px dx nuc,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78414,,Non-imaging heart function,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78428,,Cardiac shunt imaging,A,0.78,4.27,4.27,0.07,5.12,5.12,32.3465
78429,,Myocrd img pet 1 std w/ct,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78430,,Myocrd img pet rst/strs w/ct,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78431,,Myocrd img pet rst&strs ct,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78432,,Myocrd img pet 2rtracer,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78433,,Myocrd img pet 2rtracer ct,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78434,,Aqmbf pet rest & rx stress,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78445,,Vascular flow imaging,A,0.49,4.58,4.58,0.07,5.14,5.14,32.3465
78451,,Ht muscle image spect sing,A,1.38,7.72,7.72,0.08,9.18,9.18,32.3465
78452,,Ht muscle image spect mult,A,1.62,10.9,10.9,0.12,12.64,12.64,32.3465
78453,,Ht muscle image planar sing,A,1.0,6.83,6.83,0.08,7.91,7.91,32.3465
78454,,Ht musc image planar mult,A,1.34,10.25,10.25,0.12,11.71,11.71,32.3465
78456,,Acute venous thrombus image,A,1.0,7.35,7.35,0.08,8.43,8.43,32.3465
78457,,Venous thrombosis imaging,A,0.77,3.74,3.74,0.17,4.68,4.68,32.3465
78458,,Ven thrombosis images bilat,A,0.9,4.73,4.73,0.08,5.71,5.71,32.3465
78459,,Myocrd img pet single study,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78466,,Heart infarct image,A,0.69,4.04,4.04,0.06,4.79,4.79,32.3465
78468,,Heart infarct image (ef),A,0.8,4.57,4.57,0.07,5.44,5.44,32.3465
78469,,Heart infarct image (3d),A,0.92,5.12,5.12,0.08,6.12,6.12,32.3465
78472,,Gated heart planar single,A,0.98,5.13,5.13,0.08,6.19,6.19,32.3465
78473,,Gated heart multiple,A,1.47,6.31,6.31,0.09,7.87,7.87,32.3465
78481,,Heart first pass single,A,0.98,3.79,3.79,0.06,4.83,4.83,32.3465
78483,,Heart first pass multiple,A,1.47,4.98,4.98,0.08,6.53,6.53,32.3465
78491,,Myocrd img pet 1std rst/strs,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78492,,Myocrd img pet mlt rst&strs,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78494,,Heart image spect,A,1.19,5.0,5.0,0.08,6.27,6.27,32.3465
78496,,Heart first pass add-on,A,0.5,0.72,0.72,0.02,1.24,1.24,32.3465
78499,,Unlisted cv px dx nuc med,C,0.0,0.0,0.0,0.0,0.0,0.0,32.3465
78579,,Lung ventilation imaging,A,0.49,4.52,4.52,0.05,5.06,5.06,32.3465
78580,,Lung perfusion imaging,A,0.74,5.57,5.57,0.08,6.39,6.39,32.3465
