key,ACK_ID,participants,fund_type,broker_tot,broker_comm,broker_fees,premium,covered,sc_total,sc_direct,sc_indirect,broker_pct,admin_per_p
223722243|505,20241003110007NAL0005665987001,281.0,mixed,68523.0,0.0,68523.0,1537451.0,226.0,10025.0,10025.0,0.0,0.04456922529563544,35.67615658362989
362035026|521,20241014135138NAL0046237712001,762.0,mixed,32269.0,0.0,32269.0,5318996.0,828.0,353715.0,353715.0,0.0,0.006066746431093387,464.1929133858268
542062249|501,20240723131121NAL0006624387001,309.0,mixed,126982.0,121842.0,5140.0,29747713.0,544.0,9888.0,9888.0,0.0,0.004268630667507112,32.0
383457979|501,20240723093309NAL0006480243002,775.0,fully_insured,127486.0,126906.0,580.0,4567268.0,1243.0,34163.0,23736.0,10427.0,0.027912966788898746,44.08129032258064
710356499|501,20241001152617NAL0007370481003,161.0,mixed,79250.0,0.0,79250.0,561713.0,128.0,101742.0,101742.0,0.0,0.141086284276846,631.9378881987577
873227442|504,20240718142204NAL0003235555001,139.0,mixed,74168.0,0.0,74168.0,2070121.0,206.0,74622.0,74622.0,0.0,0.03582785740543669,536.8489208633093
383198397|501,20240809083005NAL0006042705001,450.0,fully_insured,235267.0,233221.0,2046.0,2193447.0,1161.0,289889.0,289889.0,0.0,0.10725903110492298,644.1977777777778
870440163|501,20241014101807NAL0013117219001,21482.0,mixed,9662.0,9662.0,0.0,193239.0,1052.0,8655955.0,8655955.0,0.0,0.050000258746940314,402.93990317475095
750962666|501,20240723123952NAL0011274193003,456.0,self_insured,93808.0,53470.0,40338.0,5395894.0,915.0,53470.0,53470.0,0.0,0.01738507094468498,117.25877192982456
166192220|501,20241014101834NAL0013117955001,791.0,mixed,46005.0,46005.0,0.0,1113317.0,89.0,381552.0,381552.0,0.0,0.041322462515168634,482.36662452591656
952051630|502,20240926082109NAL0000449409003,25459.0,mixed,821266.0,821266.0,0.0,89691339.0,17082.0,10853736.0,10853736.0,0.0,0.00915658088235253,426.3221650496877
141799233|501,20240810160425NAL0007725697001,502.0,mixed,9582.0,9582.0,0.0,1084776.0,1074.0,221354.0,221354.0,0.0,0.008833160025664285,440.9442231075697
020325043|501,20240802141406NAL0025025233001,142.0,fully_insured,239796.0,172374.0,67422.0,2692164.0,587.0,27706.0,27706.0,0.0,0.08907183960561095,195.11267605633802
020325043|501,20240802141450NAL0038066832001,132.0,fully_insured,239796.0,172374.0,67422.0,2692164.0,587.0,29519.0,29519.0,0.0,0.08907183960561095,223.62878787878788
160770183|520,20241014103205NAL0027034353001,204.0,mixed,63897.0,63897.0,0.0,1659859.0,137.0,5944.0,5944.0,0.0,0.038495438467966256,29.137254901960784
396046865|501,20241014102014NAL0051843282001,3107.0,mixed,312498.0,312498.0,0.0,3194676.0,2287.0,254900.0,254900.0,0.0,0.09781837031360927,82.04055358867075
231599610|501,20240802115029NAL0051849074001,429.0,mixed,17507.0,17507.0,0.0,19003315.0,850.0,5136.0,5136.0,0.0,0.0009212603169499637,11.972027972027972
465158653|501,20240718102858NAL0009392992001,826.0,mixed,89976.0,86328.0,3648.0,4616994.0,1372.0,158042.0,158042.0,0.0,0.019488004532819406,191.33414043583534
