measure_key,measure_name,pos_group,paid,measure_total_paid,share
hyperco,Hypercoagulability after DVT,indep_clinic,688.3399999999999,13444093.459999999,5.1200179621482636e-05
hyperco,Hypercoagulability after DVT,home,565.3,13444093.459999999,4.2048205160275644e-05
hyperco,Hypercoagulability after DVT,alf,350.67999999999995,13444093.459999999,2.6084317328154008e-05
hyperco,Hypercoagulability after DVT,hopd_on_campus,252.01,13444093.459999999,1.8745034817691605e-05
hyperco,Hypercoagulability after DVT,snf,70.24,13444093.459999999,5.2245992047722645e-06
hyperco,Hypercoagulability after DVT,er,0.0,13444093.459999999,0.0
hyperco,Hypercoagulability after DVT,fqhc,0.0,13444093.459999999,0.0
hyperco,Hypercoagulability after DVT,inpatient,0.0,13444093.459999999,0.0
hyperco,Hypercoagulability after DVT,other,0.0,13444093.459999999,0.0
ivc,IVC filter,inpatient,2615529.42,3880872.89,0.6739539000979751
ivc,IVC filter,office,778707.4199999999,3880872.89,0.20065264750271167
ivc,IVC filter,hopd_on_campus,448145.92,3880872.89,0.11547554704890114
ivc,IVC filter,er,29633.47,3880872.89,0.007635774435271443
ivc,IVC filter,other,6631.4,3880872.89,0.0017087392934428212
ivc,IVC filter,asc,2225.26,3880872.89,0.0005733916216977671
ivc,IVC filter,rehab_inp,0.0,3880872.89,0.0
pci,PCI for stable CAD,hopd_on_campus,51012976.7,120761485.72,0.4224275347048952
pci,PCI for stable CAD,inpatient,48116171.31,120761485.72,0.3984397096733566
pci,PCI for stable CAD,asc,21217169.18,120761485.72,0.17569483394063695
pci,PCI for stable CAD,er,178846.49,120761485.72,0.0014809894804927875
pci,PCI for stable CAD,office,125786.84000000001,120761485.72,0.0010416138825225445
pci,PCI for stable CAD,other,110077.45000000001,120761485.72,0.0009115277883813701
pci,PCI for stable CAD,rehab_inp,457.75,120761485.72,3.7905297145925177e-06
pci,PCI for stable CAD,alf,0.0,120761485.72,0.0
pci,PCI for stable CAD,group_home,0.0,120761485.72,0.0
pci,PCI for stable CAD,home,0.0,120761485.72,0.0
pci,PCI for stable CAD,inp_psy,0.0,120761485.72,0.0
pci,PCI for stable CAD,nf,0.0,120761485.72,0.0
pft,Preop pulmonary function,office,12076586.67,13518506.8,0.8933373225806269
pft,Preop pulmonary function,hopd_on_campus,1111649.65,13518506.8,0.08223168922768895
pft,Preop pulmonary function,other,171894.56,13518506.8,0.012715499022421618
pft,Preop pulmonary function,inpatient,88978.58,13518506.8,0.006581982856272262
pft,Preop pulmonary function,home,29304.010000000002,13518506.8,0.002167695769476552
pft,Preop pulmonary function,nf,21372.190000000002,13518506.8,0.0015809578910002103
pft,Preop pulmonary function,indep_clinic,15373.44,13518506.8,0.001137214355656499
pft,Preop pulmonary function,custodial,1957.8899999999999,13518506.8,0.0001448303447241673
pft,Preop pulmonary function,er,612.88,13518506.8,4.533636806692289e-05
pft,Preop pulmonary function,snf,203.20999999999998,13518506.8,1.5031985633206175e-05
pft,Preop pulmonary function,indep_lab,195.27,13518506.8,1.4444642658314896e-05
pft,Preop pulmonary function,rural_hc,119.75,13518506.8,8.858226856830075e-06
pft,Preop pulmonary function,fqhc,74.67,13518506.8,5.523539034651371e-06
pft,Preop pulmonary function,group_home,61.01,13518506.8,4.513072405304408e-06
pft,Preop pulmonary function,phl_state,38.870000000000005,13518506.8,2.8753175609602092e-06
pft,Preop pulmonary function,alf,38.42,13518506.8,2.8420298608719124e-06
pft,Preop pulmonary function,rehab_inp,25.53,13518506.8,1.888522185009368e-06
pft,Preop pulmonary function,asc,20.2,13518506.8,1.4942478706302089e-06
plant,Imaging for plantar fasciitis,office,71932345.75,93600639.38,0.7685027177856015
plant,Imaging for plantar fasciitis,hopd_on_campus,8166563.07,93600639.38,0.08724900945222583
plant,Imaging for plantar fasciitis,inpatient,4993760.859999999,93600639.38,0.05335178149506354
