measure_key,measure_name,mod1,paid,measure_total_paid,share
bmd,Frequent BMD test,CA,69.44,63890846.81,1.0868536491072374e-06
bmd,Frequent BMD test,FX,55.0,63890846.81,8.608431840567116e-07
bmd,Frequent BMD test,53,46.65,63890846.81,7.301515370226472e-07
bmd,Frequent BMD test,Q3,37.16,63890846.81,5.816169585372255e-07
bmd,Frequent BMD test,JL,36.18,63890846.81,5.662782981667605e-07
bmd,Frequent BMD test,PT,34.3,63890846.81,5.368531129662765e-07
bmd,Frequent BMD test,CG,33.01,63890846.81,5.166624273765827e-07
bmd,Frequent BMD test,TA,30.19,63890846.81,4.725246495758568e-07
bmd,Frequent BMD test,25,0.0,63890846.81,0.0
bmd,Frequent BMD test,GY,0.0,63890846.81,0.0
bmd,Frequent BMD test,JZ,0.0,63890846.81,0.0
bmd,Frequent BMD test,PO,0.0,63890846.81,0.0
bmd,Frequent BMD test,X2,0.0,63890846.81,0.0
bmd,Frequent BMD test,X3,0.0,63890846.81,0.0
cea,Carotid endarterectomy asymp,RT,7859497.7,19875991.14,0.39542670574967864
cea,Carotid endarterectomy asymp,LT,7412543.59,19875991.14,0.3729395700465179
cea,Carotid endarterectomy asymp,GLOBAL,2422893.22,19875991.14,0.12190049809007915
cea,Carotid endarterectomy asymp,AS,584139.84,19875991.14,0.02938921817209061
cea,Carotid endarterectomy asymp,GC,433813.08999999997,19875991.14,0.021825985277632798
cea,Carotid endarterectomy asymp,79,409688.21,19875991.14,0.020612215366483607
cea,Carotid endarterectomy asymp,80,182619.79,19875991.14,0.00918795891554216
cea,Carotid endarterectomy asymp,58,177555.78,19875991.14,0.008933178665121904
cea,Carotid endarterectomy asymp,22,137349.05,19875991.14,0.006910299417652084
cea,Carotid endarterectomy asymp,78,82558.28,19875991.14,0.004153668585304068
cea,Carotid endarterectomy asymp,82,49343.26,19875991.14,0.0024825559466414614
cea,Carotid endarterectomy asymp,62,32678.25,19875991.14,0.0016441066898161235
cea,Carotid endarterectomy asymp,59,21517.52,19875991.14,0.0010825885284631899
cea,Carotid endarterectomy asymp,51,16944.13,19875991.14,0.0008524923301007268
cea,Carotid endarterectomy asymp,53,13531.38,19875991.14,0.0006807902008352373
cea,Carotid endarterectomy asymp,50,8306.89,19875991.14,0.00041793588764902213
cea,Carotid endarterectomy asymp,Q6,7227.459999999999,19875991.14,0.0003636276525327531
cea,Carotid endarterectomy asymp,AG,4469.72,19875991.14,0.0002248803578406103
cea,Carotid endarterectomy asymp,AQ,4197.77,19875991.14,0.00021119802129273844
cea,Carotid endarterectomy asymp,76,3443.5,19875991.14,0.00017324922192534244
cea,Carotid endarterectomy asymp,52,3424.11,19875991.14,0.00017227367309039765
cea,Carotid endarterectomy asymp,XP,1913.69,19875991.14,9.628148787753988e-05
cea,Carotid endarterectomy asymp,XS,1845.35,19875991.14,9.284316877593456e-05
cea,Carotid endarterectomy asymp,Q1,1705.08,19875991.14,8.578591064918335e-05
cea,Carotid endarterectomy asymp,GW,1596.06,19875991.14,8.030090116049428e-05
cea,Carotid endarterectomy asymp,XU,948.88,19875991.14,4.7740009205900663e-05
cea,Carotid endarterectomy asymp,81,239.54,19875991.14,1.2051726040364897e-05
cerv,Cervical screen over 65,GLOBAL,19470119.740000002,27308961.65,0.7129571599804858
cerv,Cervical screen over 65,GA,6276709.09,27308961.65,0.22984063511620187
cerv,Cervical screen over 65,90,1159877.66,27308961.65,0.04247241893944364
cerv,Cervical screen over 65,59,256803.86,27308961.65,0.009403647904716289
cerv,Cervical screen over 65,GC,48303.049999999996,27308961.65,0.0017687618672239044
cerv,Cervical screen over 65,XU,20978.260000000002,27308961.65,0.0007681822644472462
cerv,Cervical screen over 65,X5,15277.47,27308961.65,0.0005594306438963416
cerv,Cervical screen over 65,CR,10697.06,27308961.65,0.00039170511633129047
cerv,Cervical screen over 65,76,8916.58,27308961.65,0.00032650747085435233
cerv,Cervical screen over 65,AQ,6914.24,27308961.65,0.0002531857523041342
cerv,Cervical screen over 65,25,6509.36,27308961.65,0.00023835984990663313
cerv,Cervical screen over 65,GX,5459.7,27308961.65,0.0001999233830261723
cerv,Cervical screen over 65,XE,4112.88,27308961.65,0.00015060550645286069
cerv,Cervical screen over 65,XS,3537.26,27308961.65,0.00012952744397002735
cerv,Cervical screen over 65,Q6,2995.67,27308961.65,0.00010969549257834928
cerv,Cervical screen over 65,AG,1853.1200000000001,27308961.65,6.78575781734272e-05
cerv,Cervical screen over 65,GW,1488.48,27308961.65,5.450518474765957e-05
cerv,Cervical screen over 65,SA,1367.41,27308961.65,5.0071841526790535e-05
cerv,Cervical screen over 65,CC,956.73,27308961.65,3.5033554635351726e-05
cerv,Cervical screen over 65,KX,744.33,27308961.65,2.725588799528744e-05
cerv,Cervical screen over 65,X1,710.79,27308961.65,2.6027719732068245e-05
cerv,Cervical screen over 65,PN,652.15,27308961.65,2.388043926232545e-05
