hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed
71022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False
71023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False
71030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False
71034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False
71035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,preopx,0.6,preopx,0.6,0.0,0.0,0.0,0.0,False
72010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,backscan,0.5,backscan,0.5,0.0,0.0,0.0,0.0,False
72020,989835.1100012145,1303871.630019847,101545.0,0.0,0.0,0.0,989835.1100012145,1303871.630019847,0.5,backscan,0.5,backscan,0.5,494917.5550006073,651935.8150099235,157018.26000931626,0.0,False
72052,1654179.280009194,2254010.050011766,60903.0,0.0,0.0,0.0,1654179.280009194,2254010.050011766,0.5,backscan,0.5,backscan,0.5,827089.640004597,1127005.025005883,299915.38500128605,0.0,False
72100,29801670.310270667,41047242.670189336,1679681.1,0.0,0.0,0.0,29801670.310270667,41047242.670189336,0.5,backscan,0.5,backscan,0.5,14900835.155135334,20523621.335094668,5622786.179959334,0.0,False
72110,19454029.350277793,26683040.109912977,790496.0,0.0,0.0,0.0,19454029.350277793,26683040.109912977,0.5,backscan,0.5,backscan,0.5,9727014.675138896,13341520.054956488,3614505.379817592,0.0,False
72114,2692712.7299751337,3657186.44000868,90596.0,0.0,0.0,0.0,2692712.7299751337,3657186.44000868,0.5,backscan,0.5,backscan,0.5,1346356.3649875668,1828593.22000434,482236.8550167731,0.0,False
72120,902522.4900037653,1210597.849984712,46315.0,0.0,0.0,0.0,902522.4900037653,1210597.849984712,0.5,backscan,0.5,backscan,0.5,451261.24500188266,605298.924992356,154037.67999047332,0.0,False
72131,23011382.5999931,30147655.999830443,541998.0,0.0,0.0,0.0,23011382.5999931,30147655.999830443,0.5,backscan,0.5,backscan,0.5,11505691.29999655,15073827.999915222,3568136.6999186724,0.0,False
72132,3027773.979978325,3890716.83999089,63190.0,0.0,0.0,0.0,3027773.979978325,3890716.83999089,0.5,backscan,0.5,backscan,0.5,1513886.9899891624,1945358.419995445,431471.43000628264,0.0,False
