hcpcs_cd,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,low_value_share_pass1,primary_measure,max_share_v2,primary_measure_v2,low_value_share_v2,lv_paid_v2,lv_alowd_v2,patient_oop_v2,delta_v_pass1_dedup,share_changed,weighted_commercial_mult,weighted_medicaid_mult,ma_eq,comm_eq,medicaid_eq
72131,23011382.5999931,30147655.999830443,541998.0,0.0,0.0,0.0,23011382.5999931,30147655.999830443,0.5,backscan,0.5,backscan,0.5,11505691.29999655,15073827.999915222,3568136.6999186724,0.0,False,1.9450642904420594,0.5837673521086815,11028327.51201797,14546551.034907557,2014994.0833136635
72132,3027773.979978325,3890716.83999089,63190.0,0.0,0.0,0.0,3027773.979978325,3890716.83999089,0.5,backscan,0.5,backscan,0.5,1513886.9899891624,1945358.419995445,431471.43000628264,0.0,False,2.0452327482964012,0.5425314786459322,1451076.7850853568,2012563.311944706,246399.40415449796
72133,269168.73999817,348131.78000320797,3925.0,0.0,0.0,0.0,269168.73999817,348131.78000320797,0.5,backscan,0.5,backscan,0.5,134584.369999085,174065.89000160398,39481.520002518984,0.0,False,1.7399136374277107,0.6371151425273065,129000.55039274,152207.36748491615,25723.72202217444
72141,52889599.618258335,69373745.18990776,619943.5,0.0,0.0,0.0,52889599.618258335,69373745.18990776,0.5,backscan,0.5,backscan,0.5,26444799.809129167,34686872.59495388,8242072.785824712,0.0,False,1.604082098065738,0.6844139208816599,25347621.944707856,27572759.474491626,5429756.737288999
72142,256301.650001752,329065.059999222,2731.0,0.0,0.0,0.0,256301.650001752,329065.059999222,0.5,backscan,0.5,backscan,0.5,128150.825000876,164532.529999611,36381.704998735004,0.0,False,1.721527879783244,0.635072184813014,122833.92906998859,143399.89173655052,24415.507325668957
72146,18951818.430047248,24544377.349702723,243938.0,0.0,0.0,0.0,18951818.430047248,24544377.349702723,0.5,backscan,0.5,backscan,0.5,9475909.215023624,12272188.674851362,2796279.459827738,0.0,False,1.6495299932934642,0.6666433705575788,9082759.790144986,10160017.701539805,1895115.6174602907
72147,223665.080003097,283193.780002176,2508.0,0.0,0.0,0.0,223665.080003097,283193.780002176,0.5,backscan,0.5,backscan,0.5,111832.5400015485,141596.890001088,29764.349999539496,0.0,False,1.769761222227768,0.6149984479442565,107192.67929935662,128645.98024068456,20633.051559184893
72148,129983697.94547887,171098745.44825017,1421759.0,0.0,0.0,0.0,129983697.94547887,171098745.44825017,0.5,backscan,0.5,backscan,0.5,64991848.972739436,85549372.72412509,20557523.75138565,0.0,False,1.578169866481338,0.6946070797957529,62295378.64301941,66669315.45019426,13543139.52764434
72149,480792.69000833604,613432.909993088,4632.0,0.0,0.0,0.0,480792.69000833604,613432.909993088,0.5,backscan,0.5,backscan,0.5,240396.34500416802,306716.454996544,66320.10999237598,0.0,False,1.684470602147869,0.6503417640770282,230422.45409442065,263211.37441515655,46901.93492630415
72156,14131963.96011248,18149415.63989684,121357.0,0.0,0.0,0.0,14131963.96011248,18149415.63989684,0.5,backscan,0.5,backscan,0.5,7065981.98005624,9074707.81994842,2008725.8398921797,0.0,False,1.7292386096571546,0.6347308797781815,6772818.897904972,7942199.755785726,1345499.0876093623
72157,12538620.03987519,16033757.53960328,106867.0,0.0,0.0,0.0,12538620.03987519,16033757.53960328,0.5,backscan,0.5,backscan,0.5,6269310.019937595,8016878.76980164,1747568.7498640446,0.0,False,1.7466805787106892,0.6278267463191332,6009200.348897632,7117813.334931859,1180812.153445008
72158,27142083.910029143,34942791.03988203,223353.0,0.0,0.0,0.0,27142083.910029143,34942791.03988203,0.5,backscan,0.5,backscan,0.5,13571041.955014572,17471395.519941013,3900353.5649264418,0.0,False,1.7059347031653826,0.6454129187305496,13007988.086668225,15048352.428962281,2627677.73952021
72200,220983.4799962778,295783.8000001056,15557.0,0.0,0.0,0.0,220983.4799962778,295783.8000001056,0.5,backscan,0.5,backscan,0.5,110491.7399981389,147891.9000000528,37400.160001913886,0.0,False,1.5158220400588687,0.7135557970594664,105907.5082322587,108865.77957686146,23652.606480857798
72202,738400.1500078382,1005373.250000489,44659.0,0.0,0.0,0.0,738400.1500078382,1005373.250000489,0.5,backscan,0.5,backscan,0.5,369200.0750039191,502686.6250002445,133486.5499963254,0.0,False,1.5495400652159363,0.7052233312137629,353882.19955162884,371858.7003945459,78110.55203359047
