hcpcs_cd,max_share,max_share_measure,n_measures,phys_paid,phys_alowd,phys_srvcs,hopd_paid,hopd_alowd,hopd_srvcs,combined_paid,combined_alowd,lv_paid,lv_alowd,patient_oop
72131,0.5,backscan,1,23011382.5999931,30147655.999830443,541998.0,0.0,0.0,0.0,23011382.5999931,30147655.999830443,11505691.29999655,15073827.999915222,3568136.6999186724
72132,0.5,backscan,1,3027773.979978325,3890716.83999089,63190.0,0.0,0.0,0.0,3027773.979978325,3890716.83999089,1513886.9899891624,1945358.419995445,431471.43000628264
72133,0.5,backscan,1,269168.73999817,348131.78000320797,3925.0,0.0,0.0,0.0,269168.73999817,348131.78000320797,134584.369999085,174065.89000160398,39481.520002518984
72141,0.5,backscan,1,52889599.618258335,69373745.18990776,619943.5,0.0,0.0,0.0,52889599.618258335,69373745.18990776,26444799.809129167,34686872.59495388,8242072.785824712
72142,0.5,backscan,1,256301.650001752,329065.059999222,2731.0,0.0,0.0,0.0,256301.650001752,329065.059999222,128150.825000876,164532.529999611,36381.704998735004
72146,0.5,backscan,1,18951818.430047248,24544377.349702723,243938.0,0.0,0.0,0.0,18951818.430047248,24544377.349702723,9475909.215023624,12272188.674851362,2796279.459827738
72147,0.5,backscan,1,223665.080003097,283193.780002176,2508.0,0.0,0.0,0.0,223665.080003097,283193.780002176,111832.5400015485,141596.890001088,29764.349999539496
72148,0.5,backscan,1,129983697.94547887,171098745.44825017,1421759.0,0.0,0.0,0.0,129983697.94547887,171098745.44825017,64991848.972739436,85549372.72412509,20557523.75138565
72149,0.5,backscan,1,480792.69000833604,613432.909993088,4632.0,0.0,0.0,0.0,480792.69000833604,613432.909993088,240396.34500416802,306716.454996544,66320.10999237598
72156,0.5,backscan,1,14131963.96011248,18149415.63989684,121357.0,0.0,0.0,0.0,14131963.96011248,18149415.63989684,7065981.98005624,9074707.81994842,2008725.8398921797
72157,0.5,backscan,1,12538620.03987519,16033757.53960328,106867.0,0.0,0.0,0.0,12538620.03987519,16033757.53960328,6269310.019937595,8016878.76980164,1747568.7498640446
72158,0.5,backscan,1,27142083.910029143,34942791.03988203,223353.0,0.0,0.0,0.0,27142083.910029143,34942791.03988203,13571041.955014572,17471395.519941013,3900353.5649264418
72200,0.5,backscan,1,220983.4799962778,295783.8000001056,15557.0,0.0,0.0,0.0,220983.4799962778,295783.8000001056,110491.7399981389,147891.9000000528,37400.160001913886
72202,0.5,backscan,1,738400.1500078382,1005373.250000489,44659.0,0.0,0.0,0.0,738400.1500078382,1005373.250000489,369200.0750039191,502686.6250002445,133486.5499963254
72220,0.5,backscan,1,1414437.9700247904,1935567.3200197152,116288.0,0.0,0.0,0.0,1414437.9700247904,1935567.3200197152,707218.9850123952,967783.6600098576,260564.67499746243
73620,0.35,plant,1,6230728.510010165,8424283.63985316,409320.0,0.0,0.0,0.0,6230728.510010165,8424283.63985316,2180754.978503558,2948499.273948606,767744.2954450483
73630,0.35,plant,1,47757559.80077816,65128830.37026359,2645833.0,0.0,0.0,0.0,47757559.80077816,65128830.37026359,16715145.930272354,22795090.629592255,6079944.699319901
73650,0.35,plant,1,895741.8799906881,1239751.3199847466,64854.0,0.0,0.0,0.0,895741.8799906881,1239751.3199847466,313509.6579967408,433912.9619946613,120403.30399792054
73718,0.35,plant,1,14931624.399720589,19435216.410340093,148791.0,0.0,0.0,0.0,14931624.399720589,19435216.410340093,5226068.539902206,6802325.743619032,1576257.2037168266
73719,0.35,plant,1,96022.00000110001,124336.439998985,995.0,0.0,0.0,0.0,96022.00000110001,124336.439998985,33607.700000385004,43517.75399964475,9910.053999259748
73720,0.35,plant,1,7786325.910073847,10042501.379887242,65871.0,0.0,0.0,0.0,7786325.910073847,10042501.379887242,2725214.068525846,3514875.4829605343,789661.4144346882
75552,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75553,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75554,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75555,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75556,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75557,0.4,preopst,2,279172.360000124,364504.7899916,2776.0,0.0,0.0,0.0,279172.360000124,364504.7899916,111668.94400004961,145801.91599664,34132.97199659038
75558,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75559,0.4,preopst,2,2551.9700000000003,3326.84,25.0,0.0,0.0,0.0,2551.9700000000003,3326.84,1020.7880000000001,1330.736,309.948
75560,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75561,0.4,preopst,2,5799639.620005678,7503713.35012854,47770.0,0.0,0.0,0.0,5799639.620005678,7503713.35012854,2319855.8480022713,3001485.3400514163,681629.492049145
75562,0.4,preopst,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75563,0.4,preopst,2,713182.90998108,930925.92001356,4954.0,0.0,0.0,0.0,713182.90998108,930925.92001356,285273.163992432,372370.36800542404,87097.20401299204
