HCPCS_CD,pos_group,paid,services,hcpcs_total_paid,paid_share
70498,nf,60.03,0.0,49414235.17,1.2148321185884703e-06
70498,office,5247525.26,35212.0,49414235.17,0.10619460651261557
70498,other,600749.3,8303.0,49414235.17,0.01215741370747194
70498,rehab_inp,186.67,0.0,49414235.17,3.7776563647661125e-06
70498,rehab_outp,60.36,0.0,49414235.17,1.22151035612194e-06
70498,snf,1415.89,0.0,49414235.17,2.8653484064438268e-05
70547,asc,89.48,0.0,4613486.98,1.9395307798180887e-05
70547,er,316309.47,7083.0,4613486.98,0.0685619080255863
70547,hopd_on_campus,619136.96,14403.0,4613486.98,0.13420151886935636
70547,indep_clinic,133702.03,764.0,4613486.98,0.028980688702409645
70547,indep_lab,5299.8,33.0,4613486.98,0.0011487623186052646
70547,inpatient,909808.56,22533.0,4613486.98,0.1972062702125584
70547,office,2576231.27,16355.0,4613486.98,0.5584130357727811
70547,other,52909.409999999996,745.0,4613486.98,0.011468420790904668
70548,asc,56.37,0.0,822670.52,6.852074874398076e-05
70548,er,105370.82,1793.0,822670.52,0.12808386521495874
70548,hopd_on_campus,197392.88,3152.0,822670.52,0.2399415989769513
70548,indep_clinic,4288.150000000001,0.0,822670.52,0.005212475585000907
70548,inpatient,203272.87,3369.0,822670.52,0.24708904118747319
70548,office,292727.97000000003,1242.0,822670.52,0.3558264978305045
70548,other,19503.88,187.0,822670.52,0.02370800888793244
70548,rehab_inp,57.58,0.0,822670.52,6.999156843495498e-05
70549,asc,73.1,0.0,4831530.53,1.5129781245530076e-05
70549,er,345843.17,4909.0,4831530.53,0.07158045837702695
70549,hopd_on_campus,861013.2,12970.0,4831530.53,0.1782071322231715
70549,indep_clinic,172413.08,647.0,4831530.53,0.03568498200093128
70549,indep_lab,514.08,0.0,4831530.53,0.00010640106624763479
70549,inpatient,664242.63,9771.0,4831530.53,0.13748078913619116
70549,office,2687930.45,9547.0,4831530.53,0.5563310494076501
70549,other,99433.85,910.0,4831530.53,0.02058019697538784
70549,snf,66.97,0.0,4831530.53,1.3861032147922699e-05
70551,asc,1281.69,11.0,82902442.0,1.546022009822099e-05
70551,er,6238599.74,120083.0,82902442.0,0.07525230366555427
70551,fqhc,377.36,0.0,82902442.0,4.551856264981917e-06
70551,home,0.0,0.0,82902442.0,0.0
70551,hopd_on_campus,16437144.78,314472.0,82902442.0,0.19827093609618882
70551,indep_clinic,2203763.26,18544.0,82902442.0,0.02658260971371627
70551,inp_psy,615.64,11.0,82902442.0,7.426077991767721e-06
70551,inpatient,20392632.61,389229.0,82902442.0,0.24598349720506424
70551,nf,131.94,0.0,82902442.0,1.5915092103077011e-06
70551,office,35818026.9,282889.0,82902442.0,0.4320503236804532
70551,other,1807277.56,32566.0,82902442.0,0.021800052162516514
70551,psy_partial,0.0,0.0,82902442.0,0.0
70551,rehab_inp,626.21,0.0,82902442.0,7.553577251680958e-06
70551,rehab_outp,52.61,0.0,82902442.0,6.346013305615291e-07
70551,snf,1911.7,0.0,82902442.0,2.305963435914228e-05
70552,er,67031.73,595.0,1573545.28,0.042599174521371255
70552,hopd_on_campus,470689.78,6203.0,1573545.28,0.29912693710345595
70552,indep_clinic,14342.29,18.0,1573545.28,0.009114634438736965
70552,inpatient,412533.29,5079.0,1573545.28,0.2621680451419866
70552,office,577484.61,2215.0,1573545.28,0.36699586426899644
70552,other,31463.579999999998,221.0,1573545.28,0.01999534452545274
70553,asc,3412.9799999999996,38.0,126644001.0,2.6949401259045815e-05
70553,er,3239294.3,38547.0,126644001.0,0.025577952958071814
