hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post
31045,2019,2,8460.56069486618,10000.0,1539.4393051338193,True,True
31054,2020,3,3686.6192482980873,7004.633778913445,3318.0145306153577,True,True
31059,2020,6,3544.834617788282,5278.365110733375,1733.5304929450936,True,True
31063,2024,10,1404.412717235332,2154.2732083067604,749.8604910714284,False,False
32002,2020,34,759.1496711935243,1186.2549832541324,427.10531206060807,False,False
32002,2022,36,724.26233840771,1128.9777417067621,404.7154032990521,False,False
32014,2021,4,3734.4250622997506,7322.890708437168,3588.465646137417,True,True
32015,2019,8,2199.474837204554,3807.698036413296,1608.2231992087418,False,True
32025,2020,2,5000.0,10000.0,5000.0,True,True
33038,2023,2,5190.805840995133,10000.0,4809.194159004867,True,True
33052,2024,2,5367.896539854775,10000.0,4632.103460145225,True,True
33059,2024,2,6800.000000000002,10000.0,3199.999999999998,True,True
33060,2024,2,5131.7123982346975,10000.0,4868.2876017653025,True,True
33080,2025,36,619.7246483514406,864.5769943572977,244.85234600585716,False,False
33101,2022,3,4426.326956328349,6904.881700162473,2478.5547438341237,True,True
33108,2023,2,5379.529362765514,10000.0,4620.470637234486,True,True
33116,2023,5,5184.5800663252185,6648.78985231527,1464.2097859900514,True,True
33123,2025,3,4868.1405895691605,8162.018140589568,3293.8775510204077,True,True
33125,2025,9,1531.2819294513301,2292.675892457891,761.3939630065611,False,False
34005,2019,13,1602.6075185371271,2798.7122417042942,1196.104723167167,False,True
34016,2019,20,1608.8192081857633,2997.565831818767,1388.7466236330038,False,True
34085,2025,3,3609.3097947999668,6170.6555671175865,2561.34577231762,True,True
34100,2025,14,2602.1989374262093,5095.768679372574,2493.569741946365,True,True
35014,2021,13,2163.6267607351087,3163.0963060674662,999.4695453323575,False,True
35017,2020,6,3310.7722565528293,4897.291456737364,1586.5192001845344,True,True
35035,2025,2,5408.163265306123,10000.0,4591.836734693877,True,True
35042,2019,2,5138.88888888889,10000.0,4861.11111111111,True,True
36009,2020,2,7630.117135611643,10000.0,2369.882864388357,True,True
36021,2023,4,3786.6813480857913,6964.261400299549,3177.5800522137574,True,True
36023,2020,38,537.1471619410191,691.7783655939062,154.63120365288705,False,False
36023,2021,38,526.1388005293969,697.9853740593659,171.84657352996896,False,False
36027,2019,36,852.791536743824,1272.527296008637,419.73575926481294,False,False
36055,2020,5,3675.976846382035,6723.601560574251,3047.6247141922163,True,True
36058,2020,6,5024.408648069239,7567.983815094972,2543.575167025733,True,True
36074,2023,2,8217.60656925492,10000.0,1782.39343074508,True,True
36084,2022,2,6659.0923570260575,10000.0,3340.9076429739425,True,True
36103,2025,2,7222.2222222222235,10000.0,2777.7777777777765,True,True
36104,2019,9,2343.7096357530354,4187.147860265721,1843.4382245126853,False,True
36104,2022,12,1933.4383551216945,3422.7157802309284,1489.277425109234,False,True
36110,2019,5,2192.1087704095344,3681.5043136308545,1489.3955432213202,False,True
36110,2025,5,2192.1087704095344,3681.5043136308545,1489.3955432213202,False,True
36112,2021,2,6371.8820861678,10000.0,3628.1179138322004,True,True
37004,2022,2,5525.931336742148,10000.0,4474.068663257852,True,True
37006,2024,6,3283.993244511164,6042.48451867142,2758.491274160256,True,True
37007,2025,2,5000.0,10000.0,5000.0,True,True
37024,2021,3,3750.0000000000005,7222.2222222222235,3472.222222222223,True,True
37026,2020,3,3799.0706617529245,6923.569940714631,3124.4992789617068,True,True
37034,2019,2,5138.88888888889,10000.0,4861.11111111111,True,True
37034,2020,2,5138.88888888889,10000.0,4861.11111111111,True,True
37034,2024,2,5037.807183364838,10000.0,4962.192816635162,True,True
37039,2019,2,5466.820987654321,10000.0,4533.179012345679,True,True
37044,2019,2,5000.0,10000.0,5000.0,True,True
37048,2019,2,5138.88888888889,10000.0,4861.11111111111,True,True
37048,2024,2,5138.88888888889,10000.0,4861.11111111111,True,True
37049,2025,9,1666.7547510694126,2744.0947538826927,1077.34000281328,False,True
37051,2023,2,5555.555555555556,10000.0,4444.444444444444,True,True
37056,2021,8,2369.6027997976053,3928.676842637881,1559.0740428402755,False,True
37062,2021,2,5382.526029877773,10000.0,4617.473970122227,True,True
37063,2019,52,638.6525072631359,920.8092983735637,282.1567911104278,False,False
37063,2022,55,667.790513459478,1027.555074280871,359.76456082139293,False,False
37063,2025,56,659.3461101996481,1014.2956742870665,354.94956408741837,False,False
37070,2024,5,3368.4480137484306,5723.197170996101,2354.74915724767,True,True
37071,2019,2,5008.680555555556,10000.0,4991.319444444444,True,True
37071,2020,2,5008.680555555556,10000.0,4991.319444444444,True,True
37071,2021,2,5008.680555555556,10000.0,4991.319444444444,True,True
37077,2023,2,5000.0,10000.0,5000.0,True,True
37079,2025,2,6348.002958579881,10000.0,3651.997041420119,True,True
37080,2022,5,2354.8156956004755,4089.892984542213,1735.0772889417376,False,True
