ccn,hsanum,hrrnum,STATE_CD,ctrl_type,net_patient_revenue,commercial_share,commercial_revenue_bil,spend_at_risk_bil,fy
040118,4039,18,AR,1,255655858.0,0.4,0.10934168645227027,0.10934168645227027,2023
040119,4003,19,AR,2,256504867.0,0.4,0.1097047998837378,0.1097047998837378,2023
040132,4035,19,AR,2,8655595.0,0.4,0.00370191929866844,0.00370191929866844,2023
040134,4041,19,AR,4,206928268.0,0.4,0.08850133916261504,0.08850133916261504,2023
040137,4054,19,AR,1,70029560.0,0.4,0.02995100621520062,0.02995100621520062,2023
040147,4054,19,AR,4,90474222.0,0.4,0.038695002302419734,0.038695002302419734,2023
040153,4034,22,AR,4,10571456.0,0.4,0.004521315632423221,0.004521315632423221,2023
040154,4015,19,AR,2,98378468.0,0.4,0.042075576463852064,0.042075576463852064,2023
040156,4075,379,AR,2,23312873.0,0.4,0.009970703858730268,0.009970703858730268,2023
040161,4004,19,AR,4,66336501.0,0.4,0.028371518452288753,0.028371518452288753,2023
040162,4020,22,AR,8,1739065.0,0.4,0.0007437822917013597,0.0007437822917013597,2023
040164,4038,19,AR,2,6160389.0,0.4,0.002634742374892168,0.002634742374892168,2023
040779,4061,18,AR,10,11723259.0,0.4,0.005013931305171797,0.005013931305171797,2023
041300,4029,16,AR,1,12236986.0,0.4,0.005233647673087236,0.005233647673087236,2023
041302,4019,19,AR,2,18960516.0,0.4,0.008109240334501758,0.008109240334501758,2023
041303,4056,16,AR,1,12075360.0,0.4,0.005164521702132428,0.005164521702132428,2023
041304,4025,270,AR,12,4992091.0,0.4,0.0021350719405897607,0.0021350719405897607,2023
