hsa,year,n_hospitals,hhi_pre,hhi_post,hhi_shift,concentrated_pre,concentrated_post,spend_at_risk_bil,n_hospitals_spend,raw_uplift,shift_intensity,blended_uplift,raw_savings_bil,booked_savings_bil
34100,2025,14,2602.1989374262093,5095.768679372574,2493.569741946365,True,True,1.8864455926499202,6.0,0.153,1.0,0.153,0.2886261756754378,0.2886261756754378
33101,2022,3,4426.326956328349,6904.881700162473,2478.5547438341237,True,True,1.1519412468964865,3.0,0.153,1.0,0.153,0.17624701077516242,0.17624701077516242
5085,2022,5,2936.3840905791844,5398.279866453766,2461.8957758745814,True,True,0.0591890508287183,2.0,0.153,1.0,0.153,0.0090559247767939,0.0090559247767939
45020,2020,5,3061.3192246171743,5518.226865471305,2456.907640854131,True,True,0.18705492744354812,2.0,0.153,1.0,0.153,0.028619403898862864,0.028619403898862864
14011,2020,3,3423.0954782684976,5870.356563308627,2447.2610850401297,True,True,0.20199904744758387,2.0,0.153,1.0,0.153,0.030905854259480333,0.030905854259480333
38013,2025,3,4282.662869348523,6710.573157707369,2427.9102883588466,True,True,0.022743719390733497,1.0,0.153,1.0,0.153,0.0034797890667822248,0.0034797890667822248
19040,2022,4,2973.157571204153,5382.829041732122,2409.671470527969,True,True,0.02725017875172089,3.0,0.153,1.0,0.153,0.0041692773490132964,0.0041692773490132964
5091,2019,3,5950.726267652706,8342.263578393404,2391.5373107406976,True,True,0.1536392617510153,1.0,0.153,1.0,0.153,0.02350680704790534,0.02350680704790534
30015,2025,5,2781.2226113445704,5155.9899787151,2374.7673673705294,True,True,0.4663687786033367,2.0,0.153,1.0,0.153,0.07135442312631052,0.07135442312631052
39037,2020,4,4609.408934478264,6983.026496040629,2373.617561562365,True,True,0.23749951386350132,2.0,0.153,1.0,0.153,0.0363374256211157,0.0363374256211157
36009,2020,2,7630.117135611643,10000.0,2369.882864388357,True,True,0.08096620330524952,2.0,0.153,1.0,0.153,0.012387829105703177,0.012387829105703177
37070,2024,5,3368.4480137484306,5723.197170996101,2354.74915724767,True,True,0.007988005358503256,2.0,0.153,1.0,0.153,0.001222164819850998,0.001222164819850998
45150,2025,3,3338.337399136798,5683.993244511165,2345.6558453743673,True,True,0.007281105420082054,1.0,0.153,1.0,0.153,0.0011140091292725543,0.0011140091292725543
5212,2020,4,3118.3661027282424,5453.619875019052,2335.25377229081,True,True,0.17810087524298868,2.0,0.153,1.0,0.153,0.027249433912177268,0.027249433912177268
19086,2020,3,6365.445474772322,8687.138099252361,2321.692624480039,True,True,0.11566145433490174,1.0,0.153,1.0,0.153,0.017696202513239966,0.017696202513239966
19036,2019,6,3083.2073048259617,5342.461200234568,2259.2538954086067,True,True,0.15726569617028502,5.0,0.153,1.0,0.153,0.02406165151405361,0.02406165151405361
