hcpcs_cd,n_measures,measures_list,min_share,mean_share,max_share,phys_paid,hopd_paid,combined_paid,combined_alowd,lv_paid_min,lv_paid_mean,lv_paid_max,patient_oop_mean
75940,1,ivc,0.55,0.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75960,1,renlstent,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75966,1,renlstent,0.7,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76070,1,bmd,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76071,1,bmd,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76075,1,bmd,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76076,1,bmd,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76078,1,bmd,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76880,1,plant,0.35,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76881,1,plant,0.35,0.35,0.35,7193882.000015528,0.0,7193882.000015528,9402016.050041793,2517858.7000054345,2517858.7000054345,2517858.7000054345,772846.9175091931
76882,1,plant,0.35,0.35,0.35,8947488.380031785,0.0,8947488.380031785,11916771.959983936,3131620.9330111244,3131620.9330111244,3131620.9330111244,1039249.252983253
76977,1,bmd,0.3,0.3,0.3,3642.8500000272,0.0,3642.8500000272,3642.8500000272,1092.85500000816,1092.85500000816,1092.85500000816,0.0
77057,1,cncr,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77078,1,bmd,0.3,0.3,0.3,569089.639995478,0.0,569089.639995478,569089.639995478,170726.89199864338,170726.89199864338,170726.89199864338,0.0
77079,1,bmd,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77080,1,bmd,0.3,0.3,0.3,61448706.730362944,0.0,61448706.730362944,61448716.1404316,18434612.019108884,18434612.019108884,18434612.019108884,2.8230205960571766
77081,1,bmd,0.3,0.3,0.3,2331786.299991619,0.0,2331786.299991619,2331786.299991619,699535.8899974857,699535.8899974857,699535.8899974857,0.0
77083,1,bmd,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78350,1,bmd,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78351,1,bmd,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78451,2,"preopst,stress",0.4,0.45,0.5,2117075.630001984,0.0,2117075.630001984,2764125.060013422,846830.2520007937,952684.0335008928,1058537.815000992,291172.24350514705
